Time,TSN(1)-Verb,TSN(2)-Verb,TSN(3)-Verb,TSN(4)-Verb,TSN(5)-Verb,TSM(1)-Verb,TSM(2)-Verb,TSM(3)-Verb,TSM(4)-Verb,TSM(5)-Verb,TSN(1)-Noun,TSN(2)-Noun,TSN(3)-Noun,TSN(4)-Noun,TSN(5)-Noun,TSM(1)-Noun,TSM(2)-Noun,TSM(3)-Noun,TSM(4)-Noun,TSM(5)-Noun,GT-Verb,GT-Noun
00:22.8,put,take,open,close,wash,put,take,open,close,move,plate,pan,knife,lid,bowl,pan,plate,knife,spoon,lid,fill,crisp
00:24.8,put,take,open,close,wash,put,take,open,close,move,plate,pan,spoon,knife,top,pan,lid,plate,spoon,knife,pour,sauce
00:26.7,take,put,open,close,wash,put,take,open,close,move,bowl,plate,spoon,knife,pan,pan,lid,spoon,plate,knife,take,bowl
00:28.6,put,take,open,close,wash,put,take,open,close,move,lid,plate,pan,bowl,knife,pan,lid,bowl,plate,spoon,dip,crisp
00:30.5,put,take,open,close,wash,put,take,open,close,move,pan,lid,plate,spoon,bowl,pan,spoon,plate,knife,water,hold,peeler
00:32.4,put,take,open,close,wash,put,take,open,close,move,pan,lid,plate,bowl,knife,pan,spoon,plate,bowl,knife,hold,peeler
00:34.4,put,take,open,close,wash,put,take,open,close,move,plate,pan,lid,bowl,knife,pan,plate,spoon,bowl,knife,hold,peeler
00:36.3,put,take,open,close,wash,put,take,open,close,move,pan,bowl,lid,plate,knife,pan,plate,bowl,spoon,lid,hold,potato
00:38.2,put,take,open,close,wash,put,take,open,close,move,knife,pan,plate,bowl,spoon,pan,lid,bowl,spoon,knife,peel,potato
00:40.1,put,take,open,close,wash,put,take,open,close,move,pan,plate,knife,spoon,lid,pan,plate,lid,bowl,spoon,peel,potato
00:42.0,put,take,open,close,wash,take,put,open,close,move,pan,bowl,plate,spoon,top,pan,bowl,spoon,plate,knife,peel,potato
00:44.0,take,put,open,close,wash,put,take,open,close,move,pan,spoon,knife,plate,lid,pan,plate,lid,spoon,knife,put,crisp
00:45.9,put,take,open,close,wash,put,take,open,close,move,pan,bowl,knife,spoon,plate,pan,plate,spoon,lid,bowl,cook,crisp
00:47.8,take,put,open,close,wash,put,take,open,close,move,pan,plate,knife,bowl,spoon,pan,spoon,lid,knife,plate,put,crisp
00:49.7,take,put,open,close,wash,put,take,open,close,move,spoon,pan,bowl,knife,plate,pan,lid,knife,plate,spoon,take,chip
00:51.6,put,take,open,close,wash,put,take,open,close,move,pan,bowl,lid,plate,spoon,pan,lid,spoon,knife,bowl,peel,potato
00:53.6,put,take,close,open,wash,put,take,open,close,move,pan,lid,spoon,plate,bowl,pan,plate,knife,lid,spoon,hold,chip
00:55.5,put,take,open,close,wash,put,take,open,close,move,pan,bowl,plate,lid,spoon,pan,knife,spoon,bowl,lid,cook,crisp
00:57.4,put,take,open,close,wash,put,take,open,close,wash,pan,knife,lid,plate,spoon,pan,spoon,knife,plate,lid,cook,crisp
00:59.3,put,take,open,close,wash,put,take,open,close,move,pan,knife,plate,lid,spoon,pan,plate,lid,bowl,spoon,put,crisp
01:01.2,put,take,open,close,wash,put,take,open,close,wash,pan,spoon,plate,lid,bowl,knife,pan,spoon,plate,lid,take,crisp
01:03.2,put,take,open,close,wash,put,take,open,close,move,plate,pan,lid,bowl,spoon,pan,spoon,plate,lid,bowl,cut,potato
01:05.1,put,take,open,close,wash,put,take,open,close,move,knife,bowl,pan,plate,spoon,pan,plate,knife,lid,bowl,cut,potato
0:01:07,put,take,open,close,wash,put,take,open,close,move,pan,knife,spoon,bowl,plate,pan,lid,knife,spoon,plate,put,potato
01:08.9,put,take,open,close,wash,put,take,open,close,move,knife,pan,spoon,bowl,plate,pan,spoon,plate,knife,bowl,cook,potato
01:10.8,put,take,open,close,wash,put,take,open,close,move,bowl,pan,knife,lid,spoon,pan,spoon,plate,knife,bowl,fill,water
01:12.8,put,take,open,close,wash,put,take,open,close,move,bowl,pan,knife,plate,spoon,pan,spoon,plate,knife,lid,take,potato
01:14.7,put,take,open,close,wash,put,take,open,close,move,knife,spoon,plate,lid,pan,pan,spoon,knife,plate,lid,take,potato
01:16.6,take,put,open,close,wash,put,take,open,close,move,pan,lid,plate,knife,bowl,pan,spoon,bowl,plate,lid,peel,potato
01:18.5,put,take,close,open,wash,put,take,open,close,move,pan,bowl,lid,plate,knife,pan,plate,spoon,bowl,lid,peel,potato
01:20.4,put,take,open,close,wash,put,take,open,close,move,pan,spoon,bowl,plate,knife,pan,plate,lid,bowl,knife,peel,potato
01:22.4,put,take,open,close,wash,put,take,open,close,move,pan,knife,plate,lid,spoon,pan,spoon,plate,lid,knife,peel,potato
01:24.3,put,take,open,close,wash,put,take,open,close,move,plate,lid,spoon,pan,knife,pan,spoon,knife,plate,bowl,open,microwave
01:26.2,put,take,open,close,move,put,take,open,close,move,pan,knife,spoon,top,lid,pan,lid,plate,bowl,knife,put,bowl
01:28.1,put,take,open,close,wash,put,take,open,close,move,pan,knife,plate,spoon,lid,pan,knife,plate,lid,spoon,put,mug
01:30.0,put,take,open,close,wash,put,take,close,open,move,pan,lid,bowl,spoon,plate,pan,knife,spoon,lid,plate,put,bowl
01:32.0,put,take,open,close,wash,put,take,open,close,move,pan,plate,bowl,spoon,knife,pan,plate,bowl,spoon,lid,close,microwave
01:33.9,take,put,open,close,wash,put,take,open,close,move,knife,spoon,plate,pan,bowl,pan,plate,spoon,lid,knife,cook,water
01:35.8,put,take,open,close,wash,put,take,open,close,move,bowl,pan,plate,spoon,lid,spoon,pan,plate,lid,bowl,take,package
01:37.7,put,take,open,close,wash,put,take,open,close,wash,spoon,lid,knife,pan,plate,lid,pan,plate,bowl,spoon,put,bowl
01:39.6,put,take,open,close,wash,put,take,open,close,wash,pan,knife,lid,bowl,top,pan,knife,spoon,plate,lid,mix,rice
01:41.6,put,take,open,close,wash,put,take,open,close,move,pan,knife,spoon,lid,bowl,pan,bowl,spoon,plate,knife,cook,rice
01:43.5,take,put,open,close,wash,put,take,open,close,move,pan,knife,plate,lid,bowl,pan,bowl,knife,lid,plate,pour,wine
01:45.4,put,take,open,close,wash,put,take,open,close,move,pan,spoon,bowl,knife,lid,pan,spoon,knife,plate,bowl,take,tray
01:47.3,put,take,open,close,wash,put,take,open,close,move,knife,pan,plate,bowl,spoon,pan,lid,bowl,plate,spoon,put,bowl
01:49.2,put,take,open,close,wash,put,take,open,close,move,pan,plate,lid,spoon,bowl,spoon,lid,pan,knife,plate,mix,pan
01:51.2,put,take,open,close,wash,take,put,open,close,move,bowl,pan,plate,spoon,knife,pan,spoon,plate,knife,lid,cut,tomato
01:53.1,put,take,open,close,wash,put,take,open,close,move,pan,plate,spoon,bowl,knife,pan,plate,lid,spoon,knife,cut,tomato
0:01:55,put,take,open,close,wash,put,take,open,close,move,plate,lid,pan,spoon,knife,pan,spoon,lid,bowl,plate,cut,tomato
01:56.9,take,put,open,close,wash,put,take,open,close,move,pan,spoon,bowl,lid,plate,pan,spoon,knife,plate,lid,cut,tomato
01:58.8,put,take,open,close,wash,put,take,open,close,move,pan,lid,knife,spoon,plate,pan,lid,knife,bowl,plate,hold,tomato
02:00.8,put,take,open,close,wash,put,take,open,close,move,pan,spoon,bowl,plate,knife,pan,plate,spoon,knife,bowl,hold,tomato
02:02.7,put,take,open,close,wash,put,take,open,close,move,pan,lid,spoon,knife,bowl,pan,lid,plate,spoon,knife,cut,tomato
02:04.6,put,take,open,close,wash,put,take,open,close,move,pan,plate,bowl,lid,knife,spoon,bowl,plate,pan,knife,cut,tomato
02:06.5,take,put,open,close,move,put,take,open,close,move,pan,plate,spoon,lid,knife,pan,plate,lid,bowl,spoon,open,jar
02:08.4,put,take,open,close,move,put,take,open,close,move,pan,plate,lid,bowl,knife,pan,knife,spoon,lid,bowl,put,cloth
02:10.4,put,take,open,close,wash,put,take,open,close,move,pan,plate,bowl,knife,lid,pan,knife,bowl,lid,plate,put,garlic
02:12.3,put,take,open,close,wash,put,take,open,close,move,pan,knife,lid,spoon,plate,pan,bowl,lid,knife,plate,roll,cloth
02:14.2,put,take,open,close,wash,put,take,close,open,move,pan,knife,plate,bowl,spoon,plate,pan,bowl,lid,spoon,unroll,cloth
02:16.1,put,take,open,close,wash,put,take,open,close,move,pan,lid,plate,spoon,knife,pan,spoon,lid,knife,plate,take,garlic
02:18.0,put,take,open,close,wash,put,take,open,close,move,lid,pan,spoon,bowl,plate,pan,spoon,knife,lid,plate,take,knife
02:20.0,put,take,open,close,wash,put,take,open,close,move,pan,plate,bowl,lid,spoon,pan,lid,bowl,knife,spoon,squeeze,knife
02:21.9,put,take,close,open,wash,put,take,open,close,move,bowl,pan,knife,plate,spoon,pan,knife,bowl,spoon,lid,take,garlic
02:23.8,put,take,open,close,wash,put,take,open,close,move,plate,bowl,knife,pan,spoon,pan,spoon,plate,knife,lid,crush,fork
02:25.7,put,take,open,close,wash,put,take,open,close,move,knife,spoon,plate,pan,bowl,pan,spoon,plate,knife,bowl,take,salad
02:27.6,put,take,open,close,wash,put,take,open,close,remove,pan,spoon,plate,knife,lid,pan,spoon,lid,plate,top,take,salad
02:29.6,take,put,open,close,wash,put,take,open,close,move,pan,bowl,lid,knife,plate,lid,pan,knife,spoon,plate,put,salad
02:31.5,put,take,open,close,wash,put,take,open,close,move,pan,lid,spoon,plate,knife,pan,bowl,plate,knife,spoon,open,salad
02:33.4,take,put,open,close,wash,put,take,open,close,move,plate,pan,knife,bowl,spoon,knife,pan,spoon,plate,lid,put,tissue
02:35.3,put,take,open,close,wash,take,put,open,close,move,knife,pan,bowl,plate,lid,spoon,pan,plate,knife,bowl,cover,tissue
02:37.2,take,put,close,open,wash,put,take,open,close,move,pan,bowl,plate,lid,spoon,pan,spoon,lid,knife,plate,put,salad
02:39.2,put,take,open,close,wash,put,take,open,close,move,pan,lid,plate,bowl,knife,pan,lid,knife,spoon,plate,put,salad
02:41.1,take,put,open,close,wash,put,take,open,close,move,spoon,pan,knife,lid,plate,pan,knife,spoon,plate,bowl,take,salad
0:02:43,put,take,close,open,wash,put,take,open,close,move,pan,knife,lid,plate,spoon,pan,lid,bowl,plate,spoon,put,salad
02:44.9,put,take,open,close,wash,put,take,open,close,move,bowl,pan,spoon,lid,knife,spoon,pan,knife,lid,plate,put,cherry
02:46.8,put,take,open,close,wash,put,take,open,close,move,pan,knife,bowl,plate,spoon,pan,spoon,knife,plate,bowl,take,plate
02:48.8,put,take,open,close,wash,put,take,open,move,close,plate,pan,lid,bowl,knife,spoon,knife,pan,lid,plate,hold,plate
02:50.7,take,put,open,close,wash,put,take,open,close,move,pan,plate,bowl,spoon,lid,pan,spoon,knife,plate,lid,put,plate
02:52.6,take,put,open,close,wash,put,take,open,close,move,pan,bowl,lid,knife,spoon,pan,lid,plate,spoon,bowl,put,knife
02:54.5,put,take,close,open,wash,put,take,open,close,move,knife,spoon,pan,plate,lid,pan,knife,plate,lid,spoon,lift,plate
02:56.4,put,take,open,close,wash,put,take,open,close,move,pan,bowl,plate,knife,spoon,pan,lid,knife,spoon,plate,put,cherry
02:58.4,put,take,open,close,wash,put,take,open,close,move,pan,bowl,plate,lid,knife,lid,pan,plate,spoon,bowl,take,tomato
03:00.3,put,take,open,close,wash,put,take,open,close,move,plate,pan,lid,spoon,bowl,plate,spoon,pan,knife,bowl,cut,tomato
03:02.2,put,take,open,close,wash,put,take,close,open,move,pan,lid,plate,bowl,knife,pan,spoon,knife,plate,lid,cut,tomato
03:04.1,put,take,open,close,wash,put,take,open,close,move,pan,plate,spoon,knife,lid,pan,knife,spoon,lid,plate,sort,tomato
03:06.0,put,take,close,open,wash,take,put,open,close,move,bowl,knife,pan,spoon,plate,pan,spoon,knife,lid,plate,put,plate
03:08.0,put,take,open,wash,close,put,take,open,close,move,lid,pan,spoon,bowl,plate,pan,spoon,lid,bowl,plate,cut,tomato
03:09.9,take,put,open,close,wash,put,take,open,close,move,pan,bowl,plate,spoon,lid,pan,knife,spoon,lid,plate,sort,tomato
03:11.8,put,take,open,close,wash,put,take,open,close,move,pan,spoon,plate,lid,knife,pan,spoon,lid,knife,plate,sort,tomato
03:13.7,put,take,open,close,wash,put,take,open,close,move,pan,knife,bowl,plate,spoon,pan,spoon,plate,knife,lid,put,tomato
03:15.6,put,take,open,wash,close,take,put,open,close,move,pan,lid,plate,knife,spoon,pan,bowl,knife,spoon,lid,take,scissors
03:17.6,put,take,open,close,wash,take,put,open,close,move,plate,pan,bowl,lid,knife,pan,spoon,lid,plate,bowl,cut,herb
03:19.5,put,take,open,close,wash,put,take,open,close,move,pan,lid,bowl,plate,spoon,pan,spoon,plate,knife,lid,sprinkle,herb
03:21.4,put,take,open,close,wash,put,take,open,close,wash,spoon,knife,lid,bowl,plate,pan,plate,spoon,lid,knife,take,spoon
03:23.3,put,take,open,close,wash,put,take,open,close,move,pan,spoon,lid,plate,knife,pan,knife,spoon,lid,plate,peel,ginger
03:25.2,put,take,open,close,wash,put,take,open,close,move,knife,pan,lid,spoon,bowl,pan,spoon,plate,knife,bowl,cut,onion
03:27.2,take,put,open,close,wash,put,take,open,close,move,knife,pan,spoon,bowl,lid,pan,plate,bowl,lid,knife,cut,onion
03:29.1,put,take,open,close,wash,put,take,open,close,move,plate,bowl,pan,lid,knife,pan,spoon,lid,plate,knife,cut,onion
0:03:31,put,take,open,wash,close,put,take,open,close,move,plate,pan,bowl,spoon,lid,pan,plate,bowl,lid,spoon,cut,onion
03:32.9,put,take,open,close,wash,put,take,open,close,move,plate,bowl,pan,lid,knife,pan,lid,spoon,knife,bowl,cut,onion
03:34.8,put,take,open,wash,close,put,take,open,move,close,pan,spoon,bowl,plate,lid,pan,knife,spoon,plate,bowl,cut,onion
03:36.8,put,take,open,close,wash,put,take,open,close,move,plate,pan,lid,spoon,knife,lid,pan,knife,spoon,plate,cut,onion
03:38.7,take,put,open,close,wash,put,take,open,close,move,spoon,pan,plate,knife,bowl,pan,spoon,knife,plate,bowl,take,cutlery
03:40.6,put,take,open,close,wash,put,take,open,close,move,pan,plate,bowl,spoon,knife,knife,plate,spoon,bowl,pan,cut,onion
03:42.5,take,put,open,close,wash,put,take,open,close,move,plate,knife,bowl,pan,spoon,pan,spoon,knife,plate,lid,cut,onion
03:44.4,put,take,open,close,wash,take,put,open,close,move,pan,knife,spoon,plate,lid,knife,pan,plate,lid,spoon,cut,onion
03:46.4,put,take,open,close,wash,put,take,open,close,move,pan,bowl,plate,spoon,knife,bowl,spoon,pan,knife,lid,cut,onion
03:48.3,put,take,open,close,wash,put,take,open,close,move,lid,pan,spoon,plate,knife,pan,plate,spoon,bowl,lid,cut,cucumber
03:50.2,put,take,open,wash,close,put,take,open,close,move,pan,plate,spoon,lid,knife,pan,spoon,plate,knife,lid,cut,cucumber
03:52.1,put,take,open,close,wash,put,take,open,close,move,plate,pan,spoon,knife,bowl,lid,plate,bowl,pan,knife,cut,tomato
03:54.0,put,take,open,close,wash,put,take,open,close,move,pan,plate,lid,bowl,knife,pan,knife,plate,spoon,bowl,cut,tomato
03:56.0,put,take,open,close,wash,put,take,open,close,move,bowl,plate,pan,lid,knife,pan,spoon,plate,knife,bowl,sort,tomato
03:57.9,put,take,open,close,wash,put,take,open,close,move,plate,bowl,spoon,knife,pan,pan,knife,lid,spoon,bowl,hold,lemon
03:59.8,take,put,open,close,wash,put,take,open,close,move,pan,bowl,knife,spoon,plate,lid,pan,knife,spoon,plate,cut,lemon
04:01.7,put,take,open,close,move,take,put,open,close,move,pan,bowl,knife,lid,spoon,pan,lid,spoon,knife,plate,take,lemon
04:03.6,put,take,open,close,wash,put,take,open,close,move,knife,lid,plate,spoon,pan,pan,plate,lid,spoon,knife,put,lemon
04:05.6,put,take,open,close,wash,put,take,open,close,move,lid,knife,pan,plate,spoon,pan,spoon,plate,lid,knife,cut,lemon
04:07.5,put,take,open,close,move,put,take,open,close,move,pan,plate,lid,bowl,knife,pan,bowl,lid,spoon,knife,hold,lemon
04:09.4,put,take,open,close,wash,put,take,open,close,move,pan,lid,spoon,plate,bowl,pan,plate,spoon,knife,lid,squeeze,lemon
04:11.3,put,take,close,open,wash,take,put,open,close,move,bowl,pan,spoon,lid,plate,pan,lid,plate,spoon,bowl,squeeze,lemon
04:13.2,put,take,open,close,wash,put,take,open,close,move,spoon,pan,bowl,lid,knife,pan,lid,spoon,plate,knife,squeeze,lemon
04:15.2,put,take,open,close,wash,put,take,open,close,move,plate,bowl,spoon,pan,lid,pan,plate,spoon,bowl,knife,roll,lemon
04:17.1,put,take,open,close,wash,put,take,open,close,move,plate,lid,bowl,pan,knife,pan,spoon,lid,plate,knife,roll,lemon
0:04:19,put,take,open,close,wash,put,take,open,close,move,pan,bowl,spoon,lid,knife,pan,spoon,lid,plate,knife,hold,lemon
04:20.9,put,take,open,close,wash,put,take,open,close,move,pan,plate,spoon,knife,lid,pan,plate,bowl,spoon,knife,put,lemon
04:22.8,put,take,close,open,wash,put,take,open,close,move,pan,plate,lid,spoon,knife,pan,knife,lid,spoon,plate,insert,lemon
04:24.8,put,take,open,close,wash,put,take,open,close,move,pan,bowl,spoon,plate,lid,pan,plate,knife,lid,bowl,shake,lemon
04:26.7,put,take,close,open,wash,put,take,open,close,move,bowl,spoon,pan,plate,lid,pan,spoon,knife,lid,plate,hold,lemon
04:28.6,put,take,open,close,wash,put,take,open,close,move,pan,spoon,plate,lid,bowl,pan,plate,spoon,knife,lid,squeeze,lemon
04:30.5,take,put,open,close,wash,put,take,open,close,move,spoon,lid,pan,plate,bowl,pan,spoon,plate,lid,bowl,squeeze,lemon
04:32.4,put,take,open,close,wash,put,take,open,close,move,pan,spoon,plate,lid,top,pan,lid,knife,spoon,plate,squeeze,lemon
04:34.4,take,put,open,close,wash,put,take,open,close,move,pan,spoon,plate,bowl,knife,plate,pan,knife,spoon,lid,squeeze,lemon
04:36.3,put,take,open,close,wash,put,take,open,close,move,plate,pan,bowl,knife,spoon,pan,plate,knife,spoon,lid,take,knife
04:38.2,put,take,open,close,wash,put,take,open,close,move,bowl,lid,spoon,pan,plate,pan,plate,spoon,knife,lid,cut,fruit
04:40.1,put,take,open,close,wash,put,take,open,close,move,pan,bowl,plate,knife,tap,pan,lid,knife,plate,spoon,cut,fruit
04:42.0,put,take,open,close,wash,put,take,open,close,move,bowl,plate,pan,spoon,knife,pan,lid,plate,spoon,bowl,peel,fruit
04:44.0,put,take,open,close,wash,put,take,open,close,move,pan,knife,bowl,plate,lid,lid,pan,knife,spoon,bowl,remove,skin
04:45.9,put,take,open,close,wash,put,take,open,close,move,pan,plate,bowl,knife,top,pan,plate,lid,knife,spoon,remove,skin
04:47.8,put,take,open,wash,close,put,take,open,close,move,pan,lid,plate,bowl,top,pan,knife,plate,lid,spoon,remove,skin
04:49.7,put,take,open,close,wash,put,take,open,close,wash,spoon,bowl,pan,lid,plate,pan,spoon,lid,plate,knife,take,knife
04:51.6,take,put,open,close,wash,take,put,open,close,move,pan,plate,knife,lid,bowl,pan,knife,bowl,spoon,lid,cut,fruit
04:53.6,put,take,open,close,wash,put,take,open,close,move,bowl,knife,plate,pan,spoon,pan,spoon,bowl,knife,plate,remove,skin
04:55.5,put,take,open,close,wash,put,take,open,close,move,pan,lid,spoon,plate,knife,pan,spoon,knife,plate,bowl,remove,skin
04:57.4,put,take,open,close,wash,put,take,open,close,move,pan,plate,bowl,spoon,lid,pan,plate,lid,knife,spoon,remove,skin
04:59.3,put,take,open,close,wash,put,take,open,close,move,pan,bowl,plate,spoon,knife,spoon,lid,pan,knife,plate,cut,fruit
05:01.2,put,take,open,close,wash,put,take,open,close,move,spoon,pan,knife,lid,bowl,lid,knife,pan,plate,bowl,put,fruit
05:03.2,put,take,open,close,wash,put,take,open,close,move,knife,pan,plate,bowl,top,plate,pan,spoon,bowl,knife,put,banana
05:05.1,put,take,open,wash,close,put,take,open,close,move,pan,plate,spoon,lid,bowl,pan,spoon,plate,knife,lid,wrap,wrap:plastic
0:05:07,put,take,open,close,wash,put,take,open,close,move,knife,lid,pan,spoon,bowl,pan,spoon,knife,plate,bowl,unroll,wrap:plastic
05:08.9,put,take,open,close,wash,put,take,open,close,move,bowl,plate,lid,pan,knife,pan,spoon,plate,bowl,lid,roll,wrap:plastic
05:10.8,put,take,open,close,wash,put,take,open,close,move,plate,pan,bowl,top,knife,pan,lid,spoon,knife,plate,cut,melon
05:12.8,take,put,open,close,wash,put,take,open,close,move,pan,lid,bowl,plate,knife,pan,lid,spoon,bowl,knife,cut,melon
05:14.7,put,take,open,close,wash,put,take,open,close,move,pan,plate,lid,spoon,bowl,pan,spoon,lid,plate,knife,cut,melon
05:16.6,put,take,open,close,wash,put,take,open,close,wash,pan,knife,spoon,bowl,plate,pan,lid,bowl,plate,knife,hold,melon
05:18.5,put,take,open,close,wash,put,take,open,close,move,pan,plate,bowl,spoon,lid,pan,knife,lid,bowl,plate,cut,melon
05:20.4,put,take,open,close,wash,put,take,open,close,move,pan,plate,bowl,knife,spoon,pan,lid,spoon,plate,knife,cut,melon
05:22.4,take,put,open,close,wash,put,take,open,close,move,plate,spoon,pan,bowl,lid,pan,knife,spoon,lid,plate,cut,fruit
05:24.3,take,put,open,close,wash,put,take,open,close,move,pan,plate,lid,bowl,spoon,spoon,pan,knife,lid,plate,take,fruit
05:26.2,put,take,open,wash,close,put,take,open,close,move,spoon,pan,plate,knife,lid,pan,plate,spoon,knife,bowl,take,berry
05:28.1,put,take,open,close,wash,put,take,open,close,move,pan,lid,plate,top,knife,pan,spoon,plate,lid,knife,insert,berry
05:30.0,put,take,open,close,wash,take,put,open,close,move,plate,pan,knife,lid,bowl,pan,lid,spoon,bowl,plate,hold,berry
05:32.0,put,take,open,close,wash,put,take,open,close,move,pan,lid,spoon,bowl,knife,pan,plate,bowl,knife,spoon,take,cherry
05:33.9,put,take,open,close,wash,put,take,open,close,move,pan,bowl,knife,spoon,plate,pan,plate,spoon,lid,knife,put,cherry
05:35.8,put,take,open,close,wash,put,take,open,close,move,pan,bowl,lid,plate,knife,pan,bowl,plate,spoon,lid,insert,cherry
05:37.7,put,take,open,close,wash,put,take,open,close,wash,plate,pan,bowl,lid,knife,pan,lid,spoon,knife,plate,take,cherry
05:39.6,put,take,open,close,wash,put,take,open,close,move,plate,bowl,knife,pan,spoon,pan,bowl,plate,spoon,lid,insert,cherry
05:41.6,put,take,open,close,wash,put,take,open,close,move,pan,spoon,knife,lid,plate,pan,spoon,lid,plate,bowl,put,grapes
05:43.5,put,take,open,close,wash,put,take,open,close,move,knife,bowl,plate,pan,spoon,pan,knife,spoon,lid,bowl,put,grapes
05:45.4,put,take,open,close,move,put,take,open,close,move,pan,spoon,lid,bowl,plate,pan,knife,spoon,plate,bowl,cut,plate
05:47.3,put,take,open,close,wash,put,take,open,close,move,bowl,pan,plate,spoon,knife,pan,plate,knife,lid,spoon,take,plate
05:49.2,put,take,open,close,wash,put,take,open,close,move,pan,plate,lid,bowl,spoon,pan,plate,knife,spoon,bowl,take,grapes
05:51.2,put,take,open,close,wash,put,take,open,move,close,bowl,pan,plate,lid,spoon,pan,knife,spoon,plate,bowl,cut,pineapple
05:53.1,put,take,open,close,wash,put,take,open,close,move,plate,pan,lid,spoon,bowl,pan,plate,knife,spoon,lid,cut,pineapple
0:05:55,put,take,open,close,wash,put,take,open,close,move,pan,plate,spoon,bowl,knife,plate,pan,bowl,knife,spoon,cut,pineapple
05:56.9,put,take,open,wash,close,put,take,open,close,move,plate,pan,knife,bowl,spoon,pan,knife,spoon,plate,lid,sort,pineapple
05:58.8,put,take,open,close,wash,put,take,open,close,move,pan,lid,spoon,plate,knife,pan,spoon,lid,knife,plate,take,pineapple
06:00.8,put,take,open,close,wash,put,take,open,close,move,pan,plate,spoon,bowl,lid,pan,plate,lid,spoon,knife,cut,pineapple
06:02.7,put,take,close,open,wash,put,take,open,close,move,pan,lid,plate,spoon,bowl,lid,pan,spoon,bowl,plate,take,cutlery
06:04.6,put,take,open,close,wash,put,take,open,close,move,pan,plate,knife,bowl,spoon,pan,lid,spoon,knife,water,hold,pineapple
06:06.5,put,take,open,close,wash,put,take,open,close,move,pan,knife,plate,bowl,lid,pan,spoon,plate,bowl,lid,turn,cutlery
06:08.4,put,take,open,close,wash,put,take,open,close,move,pan,knife,bowl,plate,lid,pan,plate,lid,bowl,knife,hold,pineapple
06:10.4,put,take,open,wash,close,put,take,open,close,move,spoon,pan,bowl,lid,plate,pan,knife,spoon,lid,plate,remove,pineapple
06:12.3,put,take,open,close,wash,put,take,open,close,move,plate,knife,lid,spoon,pan,pan,knife,spoon,lid,plate,put,cutlery
06:14.2,put,take,open,close,wash,put,take,open,close,move,pan,knife,lid,spoon,plate,pan,spoon,knife,plate,lid,cut,melon
06:16.1,put,take,open,close,wash,put,take,open,close,move,spoon,pan,bowl,knife,plate,pan,spoon,knife,lid,plate,turn,cutlery
06:18.0,put,take,open,close,wash,put,take,open,close,move,pan,plate,spoon,bowl,knife,pan,lid,spoon,plate,knife,remove,melon
06:20.0,put,take,open,close,wash,put,take,open,close,move,pan,plate,bowl,spoon,lid,pan,plate,spoon,knife,bowl,remove,cutlery
06:21.9,put,take,open,close,wash,put,take,open,close,move,pan,plate,spoon,lid,knife,pan,spoon,knife,bowl,plate,put,cutter:pizza
06:23.8,put,take,open,close,wash,put,take,open,close,move,knife,pan,bowl,spoon,lid,pan,spoon,lid,knife,plate,cut,melon
06:25.7,put,take,open,close,wash,put,take,open,close,move,pan,bowl,plate,knife,lid,pan,plate,knife,spoon,lid,put,melon
06:27.6,put,take,open,close,wash,put,take,open,close,move,pan,plate,bowl,knife,spoon,bowl,pan,spoon,lid,plate,hold,melon
06:29.6,put,take,open,close,wash,put,take,open,close,move,plate,pan,bowl,knife,spoon,pan,spoon,plate,knife,bowl,cut,melon
